modelo,auc_train,auc_valid,gap_train_valid,f1_valid,umbral_optimo,precision_valid,recall_valid
LightGBM,0.7817292324488534,0.7285352471375814,0.05319398531127195,0.6711051709681972,0.32499999999999996,0.5505448106782893,0.8592716991560554
Random Forest,0.7301143623479125,0.7054473296360902,0.024667032711822245,0.6601638641528967,0.37999999999999995,0.5327945899370741,0.8675623392359856
Regresión Logística,0.7075098918317717,0.6853318748406703,0.022178016991101446,0.6488046615476774,0.31499999999999995,0.5116441717791411,0.8864394889564422
